Entry	Gene Names	Gene Ontology (molecular function)
Q6C3F4	YALI0_F00198g	
Q6C3F5	YALI0_F00176g	zinc ion transmembrane transporter activity [GO:0005385]
Q6C3G3	YALI0_E35112g	ferric-chelate reductase activity [GO:0000293]
Q6C3G5	YALI0_E35046g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]
Q6C3G7	YALI0_E34980g	aspartic-type endopeptidase activity [GO:0004190]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]
Q6C3H2	YALI0_E34852g	
Q6C3H5	YALI0_E34793g	ATP binding [GO:0005524]; ATP citrate synthase activity [GO:0003878]
Q6C3H9	YALI0_E34687g	actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]
Q6C3I0	YALI0_E34672g	succinate:fumarate antiporter activity [GO:0005469]
Q6C3J4	YALI0_E34331g	aspartic-type endopeptidase activity [GO:0004190]
Q6C3J7	YALI0_E34265g	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
Q6C3K0	YALI0_E34170g	actin filament binding [GO:0051015]; ATP binding [GO:0005524]
Q6C3K1	YALI0_E34155g	"glucan endo-1,6-beta-glucosidase activity [GO:0046557]"
Q6C3K5	YALI0_E34067g	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q6C3K7	QCR7 YALI0E34037g	ubiquinol-cytochrome-c reductase activity [GO:0008121]
Q6C3L0	YALI0_E33957g	imidazoleglycerol-phosphate dehydratase activity [GO:0004424]
Q6C3L1	YALI0_E33935g	acylglycerol lipase activity [GO:0047372]; lysophospholipase activity [GO:0004622]
Q6C3L8	YALI0_E33759g	
Q6C3M8	YALI0_E33517g	oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; thiamine pyrophosphate binding [GO:0030976]
Q6C3N3	YALI0_E33407g	ATP binding [GO:0005524]; GDP phosphatase activity [GO:0004382]; UDP phosphatase activity [GO:0045134]
Q6C3N7	YALI0_E33363g	aspartic-type endopeptidase activity [GO:0004190]
Q6C3P1	ALG13 YALI0E33275g	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity [GO:0004577]
Q6C3P8	YALI0_E33121g	RNA binding [GO:0003723]
Q6C3Q2	YALI0_E33033g	ATP binding [GO:0005524]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]
Q6C3Q8	YALI0_E32857g	ATP binding [GO:0005524]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]
Q6C3R2	YALI0_E32769g	diacylglycerol O-acyltransferase activity [GO:0004144]
Q6C3R3	FYV4 YALI0E32747g	
Q6C3S2	YALI0_E32542g	
Q6C3S4	YALI0_E32505g	
Q6C3T0	MED6 YALI0E32373g	transcription coactivator activity [GO:0003713]
Q6C3T1	YALI0_E32351g	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]
Q6C3U2	YALI0_E32109g	protein heterodimerization activity [GO:0046982]; structural molecule activity [GO:0005198]
Q6C3U4	YALI0_E32065g	
Q6C3V4	NUF2 YALI0E31867g	protein-containing complex binding [GO:0044877]
Q6C3W3	YALI0_E31691g	GTP binding [GO:0005525]; methionyl-initiator methionine tRNA binding [GO:1990856]; mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]
Q6C3W4	YALI0_E31669g	"copper ion binding [GO:0005507]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
Q6C3W6	YALI0_E31625g	RNA binding [GO:0003723]
Q6C3X1	YALI0_E31551g	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]
Q6C3X5	YALI0_E31471g	"proton-transporting ATPase activity, rotational mechanism [GO:0046961]"
Q6C3X8	YALI0_E31405g	
Q6C3Y5	YALI0_E31262g	histone deacetylase activity [GO:0004407]; metal ion binding [GO:0046872]
Q6C3Z7	YALI0_E31009g	ATP binding [GO:0005524]; uridine kinase activity [GO:0004849]
Q6C3Z9	ACH1 YALI0E30965g	acetate CoA-transferase activity [GO:0008775]; acetyl-CoA hydrolase activity [GO:0003986]
Q6C402	YALI0_E30899g	metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; protein serine/threonine phosphatase activity [GO:0004722]
Q6C410	YALI0_E30723g	tRNA (guanine-N2-)-methyltransferase activity [GO:0004809]; tRNA binding [GO:0000049]
Q6C417	LEA1 YALI0E30569g	U2 snRNA binding [GO:0030620]
Q6C418	YALI0_E30547g	chromatin binding [GO:0003682]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; ubiquitin-protein transferase activity [GO:0004842]
Q6C421	YALI0_E30481g	glutamate-5-semialdehyde dehydrogenase activity [GO:0004350]; NADP binding [GO:0050661]
Q6C430	YALI0_E30217g	box C/D RNA binding [GO:0034512]; box H/ACA snoRNA binding [GO:0034513]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; rRNA primary transcript binding [GO:0042134]; U3 snoRNA binding [GO:0034511]
Q6C432	YALI0_E30151g	L-methionine-(S)-S-oxide reductase activity [GO:0036456]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]
Q6C433	YALI0_E30129g	ATP binding [GO:0005524]; glutamate-cysteine ligase activity [GO:0004357]
Q6C435	FYV10 YALI0E30085g	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]
Q6C438	YALI0_E29975g	coproporphyrinogen oxidase activity [GO:0004109]
Q6C443	OXR1 YALI0E29865g	
Q6C444	YALI0_E29843g	
Q6C447	YALI0_E29733g	
Q6C450	YALI0_E29667g	electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; succinate dehydrogenase activity [GO:0000104]
Q6C451	YALI0_E29645g	borate efflux transmembrane transporter activity [GO:0080139]; solute:inorganic anion antiporter activity [GO:0005452]
Q6C455	YALI0_E29557g	phospholipid binding [GO:0005543]
Q6C456	YALI0_E29535g	
Q6C467	YALI0_E29307g	metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; protein serine/threonine phosphatase activity [GO:0004722]
Q6C468	YALI0_E29293g	RNA cap binding [GO:0000339]
Q6C470	YALI0_E29249g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
Q6C472	YALI0_E29205g	glutaminyl-peptide cyclotransferase activity [GO:0016603]; peptidase activity [GO:0008233]; zinc ion binding [GO:0008270]
Q6C473	YALI0_E29161g	1-phosphatidylinositol-3-phosphate 5-kinase activity [GO:0000285]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]
Q6C474	YALI0_E29139g	ATP binding [GO:0005524]; tyrosine-tRNA ligase activity [GO:0004831]
Q6C483	YALI0_E28941g	"alpha-1,2-mannosyltransferase activity [GO:0000026]; dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0052926]; dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0052918]"
Q6C484	YALI0_E28919g	alkaline phosphatase activity [GO:0004035]; metal ion binding [GO:0046872]; phosphoglycolate phosphatase activity [GO:0008967]
Q6C491	YALI0_E28743g	serine-type endopeptidase activity [GO:0004252]
Q6C497	YALI0_E28600g	lyase activity [GO:0016829]; nucleic acid binding [GO:0003676]; tRNA-intron endonuclease activity [GO:0000213]
Q6C4A4	YALI0_E28468g	ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]
Q6C4A8	YALI0_E28371g	microtubule binding [GO:0008017]; microtubule plus end polymerase [GO:0061863]; microtubule plus-end binding [GO:0051010]
Q6C4A9	YALI0_E28358g	ATP binding [GO:0005524]; L-amino acid transmembrane transporter activity [GO:0015179]; thymidine kinase activity [GO:0004797]
Q6C4B4	YALI0_E28248g	metal ion binding [GO:0046872]; Rab geranylgeranyltransferase activity [GO:0004663]
Q6C4B5	YALI0_E28237g	identical protein binding [GO:0042802]; pyridoxal phosphate binding [GO:0030170]; sphinganine-1-phosphate aldolase activity [GO:0008117]
Q6C4B9	YALI0_E28153g	1-phosphatidylinositol 4-kinase activity [GO:0004430]
Q6C4C7	YALI0_E27852g	xanthine transmembrane transporter activity [GO:0042907]
Q6C4C8	YALI0_E27830g	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q6C4D6	YALI0_E27676g	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; RNA polymerase I activity [GO:0001054]; RNA polymerase III activity [GO:0001056]
Q6C4D8	YALI0_E27632g	ATP binding [GO:0005524]; calmodulin-dependent protein kinase activity [GO:0004683]
Q6C4E0	YALI0_E27533g	metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; protein serine/threonine phosphatase activity [GO:0004722]
Q6C4E6	YALI0_E27412g	aminoacyl-tRNA hydrolase activity [GO:0004045]
Q6C4E9	YALI0_E27346g	"ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]"
Q6C4F2	YALI0_E27269g	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]
Q6C4F5	YALI0_E27203g	ammonium transmembrane transporter activity [GO:0008519]
Q6C4F6	YALI0_E27181g	acid phosphatase activity [GO:0003993]; metal ion binding [GO:0046872]
Q6C4G1	YALI0E27071g	calcium ion binding [GO:0005509]
Q6C4G4	YALI0_E27005g	pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]
Q6C4G6	YALI0_E26961g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]
Q6C4H1	YALI0E26851g	metallopeptidase activity [GO:0008237]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]
Q6C4H2	YALI0_E26829g	UDP-glucose 4-epimerase activity [GO:0003978]
Q6C4H7	YALI0_E26719g	inulinase activity [GO:0051670]; sucrose alpha-glucosidase activity [GO:0004575]
Q6C4I0	YALI0_E26609g	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q6C4J1	YALI0_E26345g	antiporter activity [GO:0015297]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]
Q6C4J2	YALI0_E26323g	
Q6C4K2	YALI0_E26059g	flavin adenine dinucleotide binding [GO:0050660]; tRNA dihydrouridine synthase activity [GO:0017150]
Q6C4K4	YALI0_E26026g	
Q6C4K5	YALI0_E26004g	fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]
Q6C4L5	YALI0_E25784g	aspartic-type endopeptidase activity [GO:0004190]
Q6C4L7	YALI0_E25740g	guanine deaminase activity [GO:0008892]; zinc ion binding [GO:0008270]
Q6C4M1	YALI0_E25652g	nicotinamide-nucleotide adenylyltransferase activity [GO:0000309]; nicotinate-nucleotide adenylyltransferase activity [GO:0004515]
Q6C4N0	YALI0_E25113g	
Q6C4N1	YALI0_E25091g	thioredoxin peroxidase activity [GO:0008379]
Q6C4N2	YALI0_E25069g	ABC-type glutathione S-conjugate transporter activity [GO:0015431]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; bilirubin transmembrane transporter activity [GO:0015127]
Q6C4N7	YALI0_E24959g	antiporter activity [GO:0015297]
Q6C4P5	YALI0_E24761g	metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein methyltransferase activity [GO:0008276]; rRNA (guanine) methyltransferase activity [GO:0016435]; tRNA (guanine-N2-)-methyltransferase activity [GO:0004809]
Q6C4P7	YALI0_E24717g	tRNA (cytosine-3-)-methyltransferase activity [GO:0052735]
Q6C4Q0	YALI0E24651g	transmembrane transporter activity [GO:0022857]
Q6C4Q2	YALI0_E24607g	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; leucine-tRNA ligase activity [GO:0004823]
Q6C4R0	YALI0_E24431g	ATP binding [GO:0005524]; ATP-dependent chromatin remodeler activity [GO:0140658]; DNA translocase activity [GO:0015616]; double-stranded DNA binding [GO:0003690]; hydrolase activity [GO:0016787]
Q6C4R1	CMC4 YALI0E24409g	
Q6C4R3	FYV7 YALI0E24365g	
Q6C4R5	SPC3 YALI0E24321g	
Q6C4R6	YALI0_E24299g	small GTPase binding [GO:0031267]
Q6C4S7	YALI0_E24057g	lactoylglutathione lyase activity [GO:0004462]; zinc ion binding [GO:0008270]
Q6C4S8	YALI0_E24035g	RNA polymerase III general transcription initiation factor activity [GO:0000995]; RNA polymerase III type 3 promoter sequence-specific DNA binding [GO:0001006]; TBP-class protein binding [GO:0017025]
Q6C4T2	YALI0_E23947g	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; RNA polymerase I activity [GO:0001054]; RNA polymerase III activity [GO:0001056]
Q6C4T4	YALI0_E23859g	identical protein binding [GO:0042802]; sodium:inorganic phosphate symporter activity [GO:0015319]
Q6C4U1	YALI0_E23694g	DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
Q6C4U6	RPL24 YALI0E23584g	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]
Q6C4U7	RPL30 YALI0E23562g	pre-mRNA 5'-splice site binding [GO:0030627]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q6C4V7	YALI0_E23342g	SUMO ligase activity [GO:0061665]; zinc ion binding [GO:0008270]
Q6C4W1	YALI0_E23265g	RNA binding [GO:0003723]; ubiquitin binding [GO:0043130]
Q6C4W2	YALI0_E23243g	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]
Q6C4W7	YALI0_E23133g	chromatin binding [GO:0003682]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; protein heterodimerization activity [GO:0046982]; transcription coactivator activity [GO:0003713]
Q6C4X1	YALI0_E23045g	copper chaperone activity [GO:0016531]; copper ion binding [GO:0005507]
Q6C4X4	YALI0_E22979g	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; RNA binding [GO:0003723]
Q6C4X5	HUT1 YALI0E22957g	UDP-galactose transmembrane transporter activity [GO:0005459]; UDP-glucose transmembrane transporter activity [GO:0005460]
Q6C4X7	YALI0_E22913g	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity [GO:0004671]
Q6C4Y4	ATG16 YALI0E22737g	
Q6C4Y7	YALI0_E22649g	glucose-6-phosphate dehydrogenase activity [GO:0004345]; NADP binding [GO:0050661]
Q6C4Z3	YALI0_E22462g	lysophospholipase activity [GO:0004622]; phosphatidyl phospholipase B activity [GO:0102545]; phospholipase A2 activity [GO:0004623]
Q6C4Z7	YALI0_E22374g	aspartic-type endopeptidase activity [GO:0004190]
Q6C504	YALI0_E22198g	ATP binding [GO:0005524]; chitin synthase activity [GO:0004100]; cytoskeletal motor activity [GO:0003774]
Q6C508	YALI0_E22044g	syntaxin binding [GO:0019905]
Q6C512	YALI0_E21956g	mRNA binding [GO:0003729]
Q6C513	YALI0_E21934g	N-acetylglucosaminylphosphatidylinositol deacetylase activity [GO:0000225]
Q6C516	YALI0_E21868g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proteasome-activating activity [GO:0036402]; protein domain specific binding [GO:0019904]; ubiquitin protein ligase binding [GO:0031625]
Q6C522	YALI0_E21692g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]
Q6C523	YALI0_E21670g	membrane insertase activity [GO:0032977]; protein-folding chaperone binding [GO:0051087]
Q6C524	YALI0_E21648g	
Q6C525	YALI0_E21626g	ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Q6C531	YAE1 YALI0E21505g	
Q6C535	YALI0_E21373g	protein-disulfide reductase activity [GO:0015035]
Q6C536	YALI0_E21351g	ATP binding [GO:0005524]; kinase activity [GO:0016301]; thiamine binding [GO:0030975]; thiamine diphosphokinase activity [GO:0004788]
Q6C540	YALI0_E21219g	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q6C542	YALI0_E21175g	RNA binding [GO:0003723]
Q6C544	YALI0_E21131g	"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717]"
Q6C545	YALI0_E21109g	"glucan endo-1,3-beta-D-glucosidase activity [GO:0042973]"
Q6C548	YALI0_E21043g	
Q6C549	YALI0_E21021g	"1,3-beta-D-glucan synthase activity [GO:0003843]"
Q6C553	HIR1 YALI0E20933g	
Q6C558	YALI0_E20823g	aspartic-type endopeptidase activity [GO:0004190]
Q6C564	YALI0_E20691g	ATP binding [GO:0005524]; glycerone kinase activity [GO:0004371]; triokinase activity [GO:0050354]
Q6C568	YALI0_E20603g	glutaminase activity [GO:0004359]
Q6C575	YALI0_E20449g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
Q6C584	YALI0_E20207g	ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; mannokinase activity [GO:0019158]
Q6C586	YALI0_E20163g	metal ion binding [GO:0046872]; N-acetylgalactosamine-6-phosphate deacetylase activity [GO:0047419]; N-acetylglucosamine-6-phosphate deacetylase activity [GO:0008448]
Q6C588	YALI0_E20119g	L-methionine-(S)-S-oxide reductase activity [GO:0036456]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]
Q6C590	MED11 YALI0_E20053g	transcription coregulator activity [GO:0003712]
Q6C592	YALI0_E20031g	protein kinase C binding [GO:0005080]; ribosome binding [GO:0043022]; translation regulator activity [GO:0045182]
Q6C594	YALI0_E19987g	cargo adaptor activity [GO:0140312]
Q6C5A1	YALI0_E19767g	structural molecule activity [GO:0005198]
Q6C5A5	YALI0_E19679g	ATP binding [GO:0005524]; pyruvate dehydrogenase (acetyl-transferring) kinase activity [GO:0004740]
Q6C5C1	YALI0_E19338g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; P-type calcium transporter activity [GO:0005388]
Q6C5C6	YALI0_E19206g	"2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]"
Q6C5D5	YALI0_E18964g	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]
Q6C5D6	YALI0_E18942g	dolichol kinase activity [GO:0004168]
Q6C5D8	YALI0_E18898g	N-acylphosphatidylethanolamine-specific phospholipase D activity [GO:0070290]; phosphatidylinositol binding [GO:0035091]; phospholipase D activity [GO:0004630]
Q6C5E1	YALI0_E18832g	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]
Q6C5E8	YALI0_E18678g	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; histone acetyltransferase activity [GO:0004402]; metal ion binding [GO:0046872]
Q6C5F0	YALI0_E18634g	malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]
Q6C5F1	YALI0E18612g	guanyl-nucleotide exchange factor activity [GO:0005085]; phosphatidylinositol binding [GO:0035091]; SNARE binding [GO:0000149]
Q6C5F5	YALI0_E18524g	histone arginine N-methyltransferase activity [GO:0008469]
Q6C5F7	YALI0_E18480g	heat shock protein binding [GO:0031072]; protein kinase binding [GO:0019901]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]
Q6C5G0	SEC9 YALI0E18414g	SNAP receptor activity [GO:0005484]; syntaxin binding [GO:0019905]
Q6C5G3	ERT1-1 YALI0E18304g	"DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]"
Q6C5G4	YALI0_E18282g	identical protein binding [GO:0042802]; protein-arginine omega-N asymmetric methyltransferase activity [GO:0035242]; protein-arginine omega-N monomethyltransferase activity [GO:0035241]
Q6C5G6	YALI0_E18238g	4-aminobutyrate transaminase activity [GO:0003867]; 4-aminobutyrate:2-oxoglutarate transaminase activity [GO:0034386]; pyridoxal phosphate binding [GO:0030170]
Q6C5H0	YALI0_E18117g	ubiquitin protein ligase activity [GO:0061630]
Q6C5H3	YALI0_E18051g	promoter-specific chromatin binding [GO:1990841]
Q6C5H6	YALI0_E17985g	arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]
Q6C5H9	YALI0_E17919g	ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]
Q6C5I1	YALI0_E17875g	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]
Q6C5I6	YALI0_E17765g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; molecular adaptor activity [GO:0060090]
Q6C5I7	YALI0_E17743g	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q6C5I8	YALI0_E17721g	phosphatidylinositol N-acetylglucosaminyltransferase activity [GO:0017176]
Q6C5J7	YALI0_E17479g	chorismate mutase activity [GO:0004106]; tryptophan binding [GO:0120284]; tyrosine binding [GO:0072545]
Q6C5K0	YALI0_E17413g	
Q6C5K1	PBN1 YALI0E17391g	mannosyltransferase activity [GO:0000030]
Q6C5K2	MHR1 YALI0E17369g	DNA strand exchange activity [GO:0000150]; single-stranded DNA binding [GO:0003697]; structural constituent of ribosome [GO:0003735]
Q6C5K3	YALI0_E17347g	iron ion binding [GO:0005506]; sphingolipid delta-4 desaturase activity [GO:0042284]; sphingosine hydroxylase activity [GO:0000170]
Q6C5K4	SDS23 YALI0E17325g	protein serine/threonine phosphatase inhibitor activity [GO:0004865]
Q6C5K8	YALI0_E17193g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; single-stranded DNA binding [GO:0003697]
Q6C5L2	YALI0_E17105g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]
Q6C5L7	USB1 YALI0_E16951g	"3'-5'-RNA exonuclease activity [GO:0000175]; lyase activity [GO:0016829]; poly(U)-specific exoribonuclease activity, producing 3' uridine cyclic phosphate ends [GO:1990838]"
Q6C5L8	YALI0_E16929g	dihydrolipoyllysine-residue succinyltransferase activity [GO:0004149]
Q6C5M4	YALI0_E16797g	O-acyltransferase activity [GO:0008374]; phospholipid:diacylglycerol acyltransferase activity [GO:0046027]
Q6C5M5	YALI0_E16775g	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; lipid transporter activity [GO:0005319]
Q6C5M8	YALI0_E16709g	cytochrome-c oxidase activity [GO:0004129]
Q6C5N1	YALI0_E16643g	alanine-glyoxylate transaminase activity [GO:0008453]; serine-pyruvate transaminase activity [GO:0004760]
Q6C5N8	YALI0_E16500g	lncRNA binding [GO:0106222]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]
Q6C5P0	NUT2 MED10 YALI0E16456g	transcription coregulator activity [GO:0003712]
Q6C5P1	YALI0_E16434g	inositol phosphoceramide synthase activity [GO:0045140]
Q6C5P7	YALI0_E16294g	chromatin binding [GO:0003682]; core promoter sequence-specific DNA binding [GO:0001046]; protein heterodimerization activity [GO:0046982]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; TBP-class protein binding [GO:0017025]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]
Q6C5Q0	YALI0_E16236g	DNA-binding transcription factor activity [GO:0003700]
Q6C5Q2	YALI0_E16192g	"proton-transporting ATPase activity, rotational mechanism [GO:0046961]"
Q6C5Q6	YALI0_E16060g	lysophospholipase activity [GO:0004622]; phosphatidyl phospholipase B activity [GO:0102545]; phospholipase A2 activity [GO:0004623]
Q6C5R2	PSF2 YALI0E15884g	
Q6C5R5	YALI0_E15818g	alcohol dehydrogenase (NAD+) activity [GO:0004022]; hydroxyacid-oxoacid transhydrogenase activity [GO:0047988]; metal ion binding [GO:0046872]
Q6C5R8	YALI0_E15730g	flavin adenine dinucleotide binding [GO:0050660]; squalene monooxygenase activity [GO:0004506]
Q6C5R9	YALI0_E15708g	malate synthase activity [GO:0004474]
Q6C5S0	CBP4 YALI0E15686g	
Q6C5S4	YALI0_E15598g	clathrin binding [GO:0030276]
Q6C5S9	YALI0_E15488g	ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; mannokinase activity [GO:0019158]
Q6C5T1	YALI0_E15400g	aldehyde dehydrogenase (NAD+) activity [GO:0004029]
Q6C5U6	YALI0_E15081g	dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]
Q6C5V2	YALI0_E14949g	"4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; metal ion binding [GO:0046872]"
Q6C5V3	YALI0_E14927g	ubiquitin binding [GO:0043130]
Q6C5V8	YALI0_E14751g	anthranilate synthase activity [GO:0004049]
Q6C5W4	YALI0_E14619g	
Q6C5W5	YALI0_E14597g	ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]
Q6C5W7	YALI0_E14509g	"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
Q6C5W9	YALI0_E14465g	small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]
Q6C5X0	YALI0_E14443g	phosphatidate cytidylyltransferase activity [GO:0004605]
Q6C5X5	YALI0_E14322g	"2,4-dienoyl-CoA reductase (NADPH) activity [GO:0008670]"
Q6C5X9	YALI0_E14190g	L-malate dehydrogenase activity [GO:0030060]
Q6C5Y2	YALI0_E14124g	mRNA 5'-UTR binding [GO:0048027]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]
Q6C5Y3	YALI0_E14102g	ATP binding [GO:0005524]; CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity [GO:0008444]
Q6C5Y8	VAC8 YALI0E13992g	protein-membrane adaptor activity [GO:0043495]
Q6C5Z1	YALI0_E13926g	protein kinase binding [GO:0019901]
Q6C5Z2	YALI0_E13904g	phosphatidylinositol-3-phosphate binding [GO:0032266]
Q6C601	YALI0_E13662g	Rab geranylgeranyltransferase activity [GO:0004663]
Q6C603	RPL7 YALI0E13618g	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q6C609	YALI0_E13486g	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]
Q6C611	YALI0_E13442g	monoatomic anion transmembrane transporter activity [GO:0008509]; sulfate transmembrane transporter activity [GO:0015116]
Q6C612	YALI0_E13420g	electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]
Q6C613	YALI0_E13376g	aspartic-type endopeptidase activity [GO:0004190]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]
Q6C616	YALI0_E13299g	
